buyer_dea_no,buyer_state,buyer_county,lat,lon
BG8989064,VA,STAFFORD,38.309148,-77.428444
AH1722708,VA,ACCOMACK,37.933986,-75.366017
AB3126908,NC,DARE,35.3331941,-75.5076133
FH0159740,VA,ACCOMACK,37.9446191,-75.5402708
FB0202894,NC,DARE,35.9434604,-75.6175808
BE8328824,NC,DARE,35.9930521,-75.6497703
BR8328824,NC,DARE,35.9930521,-75.6497703
BR8175780,VA,ACCOMACK,37.7828541,-75.652115
AR2585098,NC,DARE,36.0052722,-75.6552206
BW8309343,NC,DARE,36.0036291,-75.6556244
AR2041414,NC,DARE,35.8904805,-75.6604022
BK6488628,NC,DARE,36.0375702,-75.672628
FK0444048,NC,DARE,36.0375702,-75.672628
AI9708706,NC,DARE,35.9031161,-75.6731279
FI0080868,NC,DARE,35.9031161,-75.6731279
BB2680569,NC,DARE,35.2154531,-75.6859435
BE8334625,NC,DARE,36.0998818,-75.7136158
BR8334625,NC,DARE,36.0998818,-75.7136158
AB3274470,NC,DARE,36.096937,-75.713772
BR1176379,VA,ACCOMACK,37.7015832,-75.7145245
AP6246842,VA,ACCOMACK,37.6978129,-75.7157713
BW5431476,NC,DARE,36.0975704,-75.7205152
FW2101397,VA,ACCOMACK,37.6861396,-75.7224812
BR2724981,NC,DARE,36.0998923,-75.7236565
BR9330820,VA,ACCOMACK,37.711946,-75.7487445
FS3729463,NC,DARE,36.1643862,-75.7521846
FN3837854,VA,NORTHAMPTON,37.5318365,-75.8223905
BR1283035,VA,NORTHAMPTON,37.524314,-75.830834
AR6424749,VA,NORTHAMPTON,37.4744941,-75.8577096
AD9092874,NC,CURRITUCK,36.2118683,-75.8667136
FF0383288,NC,CURRITUCK,36.2389171,-75.8781471
BB3909453,VA,VIRGINIA BEACH CITY,36.845109,-75.9744899
FW2018910,VA,VIRGINIA BEACH CITY,36.8524237,-75.9765179
BR5464920,VA,VIRGINIA BEACH CITY,36.8452268,-75.9768481
FV3732941,VA,VIRGINIA BEACH CITY,36.8592608,-75.97967
AD8569432,VA,VIRGINIA BEACH CITY,36.8591452,-75.9799225
FN2336205,VA,VIRGINIA BEACH CITY,36.860346,-75.9805668
BH5839266,VA,VIRGINIA BEACH CITY,36.8558201,-75.980975
FH4730582,VA,VIRGINIA BEACH CITY,36.8558201,-75.980975
BF5827158,VA,VIRGINIA BEACH CITY,36.8580873,-75.9826982
BK2862654,VA,VIRGINIA BEACH CITY,36.7817835,-75.9991134
BE5536466,VA,VIRGINIA BEACH CITY,36.7872551,-76.0000947
BR5536466,VA,VIRGINIA BEACH CITY,36.7872551,-76.0000947
BF5768304,VA,VIRGINIA BEACH CITY,36.7850294,-76.002106
BW7583114,VA,VIRGINIA BEACH CITY,36.7605899,-76.006105
BW7259965,VA,VIRGINIA BEACH CITY,36.7583233,-76.0084009
BE5536670,VA,VIRGINIA BEACH CITY,36.7530909,-76.0097233
BR5536670,VA,VIRGINIA BEACH CITY,36.7530909,-76.0097233
BR5387522,VA,NORTHAMPTON,37.2674855,-76.0102673
FT0706513,VA,VIRGINIA BEACH CITY,36.7552632,-76.0102709
FV2890172,VA,VIRGINIA BEACH CITY,36.7628352,-76.0149372
BD0883137,VA,VIRGINIA BEACH CITY,36.7681941,-76.0160748
AK7840742,VA,VIRGINIA BEACH CITY,36.8485126,-76.0184282
BE5536618,VA,VIRGINIA BEACH CITY,36.8532954,-76.0194709
BR5536618,VA,VIRGINIA BEACH CITY,36.8532954,-76.0194709
BR6283220,VA,VIRGINIA BEACH CITY,36.8504432,-76.0207857
FV1520382,VA,VIRGINIA BEACH CITY,36.8514618,-76.0213751
BT5891557,VA,VIRGINIA BEACH CITY,36.84626,-76.0223905
BK6894352,VA,VIRGINIA BEACH CITY,36.8522989,-76.0280393
FV4874839,VA,VIRGINIA BEACH CITY,36.8737123,-76.0389189
BE5536480,VA,VIRGINIA BEACH CITY,36.8775301,-76.0390814
BR5536480,VA,VIRGINIA BEACH CITY,36.8775301,-76.0390814
